Date,Hook,Slides,Views,Likes,Comments,Shares,Saves,Sound,Sound by,Sound URL,URL
"2026-05-03","50 things to do instead of wasting another year: (start them in May)","7","410600","19300","39","2641","22280","i want to forget everything",".diedlonely & lonelyfeels","https://www.tiktok.com/music/i-want-to-forget-everything-7428762606133626897","https://www.tiktok.com/@ddotfacts999/photo/7635752321300827410"
"2026-03-06","I'm 27. If you're in your 20's, do this:","7","376100","30500","44","1853","16870","neverending cycle","Arimasen & trapeia","https://www.tiktok.com/music/neverending-cycle-7314446260940146689","https://www.tiktok.com/@ddotfacts999/photo/7614212759823158536"
"2026-03-02","March is 31 days. That's enough time to become unrecognizable.","6","60500","5348","13","254","2970","оригинальный звук","🦇","https://www.tiktok.com/music/-7440439738129320759","https://www.tiktok.com/@ddotfacts999/photo/7612770236391099655"
"2026-02-26","15 solo missions that uncover your true self:","17","2000000","169400","459","9234","117652","original sound","SW","https://www.tiktok.com/music/original-sound-7403010105535105825","https://www.tiktok.com/@ddotfacts999/photo/7611288030900456712"
"2026-02-25","Be ruthless in your comeback. Burn the bridge behind you and never return to the life you outgrew.","11","54700","2987","12","246","1054","Originalton","the_phonkface","https://www.tiktok.com/music/originalton-7251586943020026651","https://www.tiktok.com/@ddotfacts999/photo/7610937506929986823"
"2026-02-24","Ages 20 to 55, be aware of this:","8","68500","2977","10","319","1326","Originalton","the_phonkface","https://www.tiktok.com/music/originalton-7251586943020026651","https://www.tiktok.com/@ddotfacts999/photo/7610533741470977288"
"2026-02-20","How to become the person nobody dares to mess with:","6","112400","2477","5","185","1787","Last Hope (Over Slowed + Reverb)","Steve Ralph","https://www.tiktok.com/music/last-hope-over-slowed-reverb-7315831670740535298","https://www.tiktok.com/@ddotfacts999/photo/7609029393159048455"
"2026-02-19","Dumb ways to attract anything you want:","9","423600","33800","43","2184","17679","nostalgia","Øneheart","https://www.tiktok.com/music/nostalgia-7195742513112549378","https://www.tiktok.com/@ddotfacts999/photo/7608695120996699399"
"2026-02-18","17 sentences that gave me chills:","19","255900","8841","21","640","3817","nostalgia","Øneheart","https://www.tiktok.com/music/nostalgia-7195742513112549378","https://www.tiktok.com/@ddotfacts999/photo/7608105179426098439"
"2026-02-15","Rule #1: F*ck what they think.","10","128800","5975","13","397","2152","neverending cycle","Arimasen & trapeia","https://www.tiktok.com/music/neverending-cycle-7314446260940146689","https://www.tiktok.com/@ddotfacts999/photo/7607216470975614226"
