Date,Hook,Slides,Views,Likes,Comments,Shares,Saves,Sound,Sound by,Sound URL,URL
"2026-07-16","The Three C's In Life:","7","5056","688","3","18","137","original sound","ATM","https://www.tiktok.com/music/original-sound-7332606287882292001","https://www.tiktok.com/@guildstone/photo/7663079486904356118"
"2026-07-15","4 Hobbies To Become Dangerously Intelligent. F.com","6","6535","616","0","11","221","original sound","Elite Motivation","https://www.tiktok.com/music/original-sound-7507685059315583790","https://www.tiktok.com/@guildstone/photo/7662680067817917718"
"2026-07-14","The morning routine that completely changed my life.","6","17100","2099","3","53","817","Try","EndOfApril","https://www.tiktok.com/music/try-7533289206400027394","https://www.tiktok.com/@guildstone/photo/7662449162981526806"
"2026-07-14","The 6 Hobbies You need. to succeed in life. GRANGERS","8","1196","135","2","6","50","original sound","𝘮𝘢𝘵𝘵.","https://www.tiktok.com/music/original-sound-7590173471796251406","https://www.tiktok.com/@guildstone/photo/7662282903182642454"
"2026-07-13","Do this to become dangerously over educated","6","543","75","2","0","19","xscape","13 Miles","https://www.tiktok.com/music/xscape-7500931218323851280","https://www.tiktok.com/@guildstone/photo/7662128282250251542"
"2026-07-13","How To Stop Wasting Time.","6","17300","2218","5","93","981","original sound","￴￴","https://www.tiktok.com/music/original-sound-7653336947972197134","https://www.tiktok.com/@guildstone/photo/7661966009691049239"
"2026-07-12","How To Become dangerously Educated.","6","2822","235","0","3","69","in my head 24 7.","Emotionless","https://www.tiktok.com/music/in-my-head-24-7-7259616610846722822","https://www.tiktok.com/@guildstone/photo/7661751123564301590"
"2026-07-12","How To Become Ridiculously Well Educated.","5","39000","4952","9","117","1635","original sound","ALEE","https://www.tiktok.com/music/original-sound-7555996786922474270","https://www.tiktok.com/@guildstone/photo/7661653796270918934"
"2026-07-12","Usual Hobbies That Make You A Genius.","6","2614","261","2","4","96","оригинальный звук","glezzex","https://www.tiktok.com/music/-7650207184227257121","https://www.tiktok.com/@guildstone/photo/7661538470615158018"
"2026-07-11","How To Become Obsessed With being the best.","6","26600","4360","4","113","1539","original sound","pic.bylukee","https://www.tiktok.com/music/original-sound-7620381900381244182","https://www.tiktok.com/@guildstone/photo/7661401465629478146"
"2026-07-11","How to master your Social Life.","7","97700","11700","4","279","5048","Try","EndOfApril","https://www.tiktok.com/music/try-7533289206400027394","https://www.tiktok.com/@guildstone/photo/7661206734131776790"
"2026-07-10","How To Learn Extremely Fast.","6","2200","260","1","12","96","original sound","ridgeclub","https://www.tiktok.com/music/original-sound-7640531178203040533","https://www.tiktok.com/@guildstone/photo/7661040051916147990"
